"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2020","81","PM2.5","El Cajon - Lexington Elementary School","06-073-1022","AQS","13","41","28","81","25"
"01/02/2020","64","PM2.5","Pala Airpad","06-073-1201","AQS","15","40",".","64","33"
"01/03/2020","77","PM2.5","Pala Airpad","06-073-1201","AQS","19","40",".","77","42"
"01/04/2020","64","PM2.5","El Cajon - Lexington Elementary School","06-073-1022","AQS","18","43","33","64","29"
"01/05/2020","68","PM2.5","El Cajon - Lexington Elementary School","06-073-1022","AQS","17","44",".","68","34"
"01/06/2020","63","PM2.5","Pala Airpad","06-073-1201","AQS","18","43",".","63","40"
"01/07/2020","42","PM2.5","El Cajon - Lexington Elementary School","06-073-1022","AQS","15","39","19","42","42"
"01/08/2020","59","PM2.5","Donovan","06-073-1014","AQS","15","37",".","59","35"
"01/09/2020","46","PM2.5","Pala Airpad","06-073-1201","AQS","9","36",".","46","26"
"01/10/2020","46","PM2.5","Pala Airpad","06-073-1201","AQS","10","35","16","46","30"
"01/11/2020","48","PM2.5","El Cajon - Lexington Elementary School","06-073-1022","AQS","10","40",".","48","26"
"01/12/2020","54","PM2.5","Pala Airpad","06-073-1201","AQS","11","39",".","54","30"
"01/13/2020","58","PM2.5","Pala Airpad","06-073-1201","AQS","18","40","22","58","32"
"01/14/2020","62","PM2.5","Pala Airpad","06-073-1201","AQS","13","43",".","62","33"
"01/15/2020","72","PM2.5","Camp Pendleton","06-073-1008","AQS","14","47",".","72","38"
"01/16/2020","76","PM2.5","Pala Airpad","06-073-1201","AQS","18","43","51","76","41"
"01/17/2020","87","PM2.5","Pala Airpad","06-073-1201","AQS","9","39",".","87","26"
"01/18/2020","51","PM2.5","El Cajon - Lexington Elementary School","06-073-1022","AQS","15","42",".","51","34"
"01/19/2020","61","PM2.5","El Cajon - Lexington Elementary School","06-073-1022","AQS","19","42","22","61","30"
"01/20/2020","68","PM2.5","Donovan","06-073-1014","AQS","11","39",".","68","31"
"01/21/2020","57","PM2.5","Pala Airpad","06-073-1201","AQS","8","37",".","57","26"
"01/22/2020","49","PM2.5","Donovan","06-073-1014","AQS","8","40","20","49","33"
"01/23/2020","57","PM2.5","Donovan","06-073-1014","AQS","10","33",".","57","42"
"01/24/2020","63","PM2.5","Donovan","06-073-1014","AQS","10","38",".","63","31"
"01/25/2020","74","PM2.5","Donovan","06-073-1014","AQS","11","44","31","74","32"
"01/26/2020","70","PM2.5","Pala Airpad","06-073-1201","AQS","8","42",".","70","16"
"01/27/2020","89","PM2.5","Pala Airpad","06-073-1201","AQS","8","41",".","89","33"
"01/28/2020","74","PM2.5","Pala Airpad","06-073-1201","AQS","13","43","31","74","32"
"01/29/2020","58","PM2.5","Donovan","06-073-1014","AQS","10","41","21","58","28"
"01/30/2020","51","PM2.5","Donovan","06-073-1014","AQS","10","40",".","51","36"
"01/31/2020","45","NO2","Donovan","06-073-1014","AQS","11","41","21","37","45"
"02/01/2020","45","PM2.5","El Cajon - Lexington Elementary School","06-073-1022","AQS","14","41",".","45","36"
"02/02/2020","42","Ozone","Alpine","06-073-1006","AQS","14","42",".","37","28"
"02/03/2020","48","PM2.5","Pala Airpad","06-073-1201","AQS","6","39","43","48","21"
"02/04/2020","49","PM2.5","Pala Airpad","06-073-1201","AQS","6","41",".","49","31"
"02/05/2020","42","PM2.5","Donovan","06-073-1014","AQS","7","39",".","42","38"
"02/06/2020","54","PM2.5","Donovan","06-073-1014","AQS","9","44","22","54","40"
"02/07/2020","63","PM2.5","Donovan","06-073-1014","AQS","10","50",".","63","42"
"02/08/2020","71","PM2.5","Donovan","06-073-1014","AQS","10","64",".","71","43"
"02/09/2020","84","PM2.5","Pala Airpad","06-073-1201","AQS","6","44","14","84","15"
"02/10/2020","63","PM2.5","Pala Airpad","06-073-1201","AQS","7","41",".","63","31"
"02/11/2020","44","Ozone","Alpine","06-073-1006","AQS","7","44",".","42","35"
"02/12/2020","53","PM2.5","Pala Airpad","06-073-1201","AQS","9","43","32","53","31"
"02/13/2020","58","PM2.5","Donovan","06-073-1014","AQS","9","46",".","58","35"
"02/14/2020","66","PM2.5","Donovan","06-073-1014","AQS","9","47",".","66","38"
"02/15/2020","60","PM2.5","Pala Airpad","06-073-1201","AQS","8","51","40","60","36"
"02/16/2020","64","PM2.5","Pala Airpad","06-073-1201","AQS","9","61",".","64","33"
"02/17/2020","74","PM2.5","Donovan","06-073-1014","AQS","9","54",".","74","29"
"02/18/2020","77","PM2.5","Donovan","06-073-1014","AQS","7","50","31","77","20"
"02/19/2020","70","PM2.5","Pala Airpad","06-073-1201","AQS","7","48",".","70","25"
"02/20/2020","73","PM2.5","Pala Airpad","06-073-1201","AQS","10","47",".","73","53"
"02/21/2020","66","PM2.5","Donovan","06-073-1014","AQS","10","51","62","66","36"
"02/22/2020","60","PM2.5","Pala Airpad","06-073-1201","AQS","6","41",".","60","21"
"02/23/2020","57","PM2.5","Pala Airpad","06-073-1201","AQS","7","41",".","57","23"
"02/24/2020","61","PM2.5","Pala Airpad","06-073-1201","AQS","8","43","19","61","28"
"02/25/2020","65","PM2.5","Pala Airpad","06-073-1201","AQS","9","45",".","65","43"
